area,address,street_in_front_of_house,width,height,floor_number,bedroom_number,bathroom_number,direction,law,price
31,Phường Tương Mai,3,6.2,5,5,3,4,Không xác định,1,6.65
36,Phường Vĩnh Tuy,3,7.2,5,6,4,4,Không xác định,1,7.68
36,Phường Tương Mai,3,12,3,4,3,3,Không xác định,1,7.6
33,Phường Hoàng Mai,4,8.2,4,5,4,4,Không xác định,1,8.85
47,Phường Vĩnh Tuy,3,7.8,6,5,5,4,Không xác định,1,8.35
46,Phường Tương Mai,3,15.3,3,4,4,3,Không xác định,1,12.85
33,Phường Vĩnh Tuy,3,11,3,4,3,3,Không xác định,1,9.85
43,Phường Tương Mai,3,14.3,3,3,4,3,Không xác định,1,7.3
30,Phường Vĩnh Tuy,4,3.8,8,5,3,4,Không xác định,1,7.68
30,Phường Bạch Mai,3,7.5,4,5,3,4,Không xác định,1,7.5
36,Phường Tương Mai,3,12,3,5,3,4,Không xác định,1,7.65
46,Phường Vĩnh Tuy,3,11.5,4,6,6,5,Không xác định,1,14.8
35,Phường Lĩnh Nam,3,5.8,6,5,4,4,Không xác định,1,7.98
44,Phường Tương Mai,3,11,4,4,3,3,Không xác định,1,10.5
45,Phường Hoàng Mai,3,11.2,4,3,3,2,Không xác định,1,11.8
25,Phường Hoàng Mai,3,8.3,3,4,3,3,Không xác định,1,5.55
47,Phường Hoàng Mai,4,11.8,4,4,3,3,Không xác định,1,14.5
46,Phường Tương Mai,4,15.3,3,4,3,3,Không xác định,1,13.5
30,Phường Hoàng Mai,5,7.5,4,5,3,4,Không xác định,1,8.35
35,Phường Tương Mai,3,7,5,5,3,4,Không xác định,1,7.95
48,Phường Hoàng Mai,3,16,3,5,6,4,Không xác định,1,12.8
35,Phường Vĩnh Tuy,3,7,5,4,4,3,Không xác định,1,7.3
45,Phường Tương Mai,3,11.2,4,4,3,3,Không xác định,1,7.7
34,Phường Vĩnh Tuy,3,8.5,4,4,3,3,Không xác định,1,6.1
30,Phường Tương Mai,3,10,3,4,4,3,Không xác định,1,5.95
34,Phường Hoàng Mai,3,11.3,3,5,3,4,Không xác định,1,7.7
54,Phường Tương Mai,3,9,6,5,6,4,Không xác định,1,8.5
50,Phường Tương Mai,3,16.7,3,5,5,4,Không xác định,1,10.5
