iter	MAE
216	0.6025492905
217	0.6004233569
218	0.5989757356
219	0.5966921034
220	0.5955795897
221	0.594635053
222	0.5928749485
223	0.591174874
224	0.5906487095
225	0.589801766
226	0.5884246179
227	0.5869662
228	0.5849876042
229	0.5813715837
230	0.576496043
231	0.5743416919
232	0.5724449874
233	0.5698630304
234	0.5680740839
235	0.5674157637
236	0.5667282514
237	0.5655899357
238	0.5634672734
239	0.5627592416
240	0.5608596796
241	0.5595762133
242	0.5575886437
243	0.5559206453
244	0.5554015602
245	0.5543327108
246	0.5528077847
247	0.5515048082
248	0.5507672165
249	0.5497308317
250	0.5485496366
251	0.5473236129
252	0.5448896517
253	0.5435700465
254	0.5422966076
255	0.5385557295
256	0.5367980367
257	0.5349980445
258	0.5332130476
259	0.5317421124
260	0.527924395
261	0.5255859948
262	0.5244658305
263	0.5193843922
264	0.5187052146
265	0.5174483019
266	0.5164396686
267	0.514651255
268	0.5131224721
269	0.5121108351
270	0.511579035
271	0.5108010755
272	0.510258437
273	0.5099482748
274	0.5090695164
275	0.5082052622
276	0.5072545383
277	0.5055917764
278	0.5036229887
279	0.501573479
280	0.5006960337
281	0.5003326846
282	0.4997897553
283	0.4990557776
284	0.4967877761
285	0.4954946967
286	0.4942448952
287	0.4932610384
288	0.4927069657
289	0.4920164791
290	0.4914623159
291	0.4884143912
292	0.4873036502
293	0.4859316181
294	0.4853486015
295	0.4840729522
296	0.4834321857
297	0.4830901916
298	0.4809817806
299	0.4798937074
300	0.4791485852
301	0.4784761833
302	0.477340639
303	0.4756686827
304	0.4746614562
305	0.4727299205
306	0.4719912694
307	0.471342728
308	0.4704775349
309	0.4697632804
310	0.468477821
311	0.4678891445
312	0.4665341664
313	0.4657740774
314	0.4653364372
315	0.4645990843
316	0.4614132273
317	0.4609632814
318	0.4605226249
319	0.4594033314
320	0.4589179111
321	0.4578146007
322	0.4571783163
323	0.45591762
324	0.4541402392
325	0.4526123523
326	0.4524531899
327	0.4511211529
328	0.4493221478
329	0.444350327
330	0.4439236643
331	0.4428294263
332	0.4420708485
333	0.4411351095
334	0.4396077345
335	0.4393796512
336	0.4388976384
337	0.4383290314
338	0.4381640293
339	0.4373517513
340	0.4341935349
341	0.4330650749
342	0.4320265935
343	0.4305016813
344	0.4290906881
345	0.4289164939
346	0.4288156833
347	0.4285626476
348	0.427785525
349	0.4264294508
350	0.4259593836
351	0.4251228763
352	0.4244070071
353	0.4238827656
354	0.4234839475
355	0.4216830439
356	0.4207129335
357	0.4199504311
358	0.4191201805
359	0.4180745626
360	0.4150153524
361	0.4143262147
362	0.4138114592
363	0.413464333
364	0.4120817269
365	0.4110735111
366	0.4106735048
367	0.4104925855
368	0.4103896099
369	0.407754539
370	0.4072939693
371	0.4066686612
372	0.4064603165
373	0.4049204922
374	0.4043107084
375	0.403897036
376	0.403249957
377	0.4029206262
378	0.4028477704
379	0.4026828598
380	0.401103093
381	0.4009899567
382	0.4007097838
383	0.3994759889
384	0.3981467676
385	0.3965370829
386	0.3963330763
387	0.3959600758
388	0.3947197398
389	0.3943744745
390	0.3941611432
391	0.3940754295
392	0.393928361
393	0.3931516959
394	0.3924962598
395	0.3921261288
396	0.3915458083
397	0.3907952086
398	0.390353623
399	0.3899452498
400	0.3898811808
401	0.3896020307
402	0.3893939379
403	0.3885900944
404	0.3874385621
405	0.3871381095
406	0.3869856941
407	0.3857592726
408	0.3852833415
409	0.3851257588
410	0.3847197439
411	0.3845809748
412	0.3840275542
413	0.3830171037
414	0.3827721397
415	0.3820351223
416	0.3817295061
417	0.3801400194
418	0.3792542966
419	0.379207651
420	0.378958963
421	0.3786230148
422	0.3783762458
423	0.3780320807
424	0.3779011024
425	0.3774459188
426	0.3767933852
427	0.3765813306
428	0.3763656587
429	0.3761063306
430	0.3746109847
431	0.3738844089
432	0.3728245124
433	0.3724054299
434	0.3718471468
435	0.3717976637
436	0.3713911804
437	0.3702872099
438	0.3700410127
439	0.3698186241
440	0.3696194135
441	0.3688094093
442	0.3678235894
443	0.3671998952
444	0.3666390924
445	0.3665548353
446	0.3660141151
447	0.3657976836
448	0.3655792778
449	0.3654294147
450	0.3648754186
451	0.3644873034
452	0.3639830399
453	0.3639209764
454	0.3637766852
455	0.3632909163
456	0.3629476889
457	0.3626352312
458	0.3623339047
459	0.3617389936
460	0.3615182809
461	0.3613813928
462	0.3612014388
463	0.3610017226
464	0.3600969272
465	0.35865459
466	0.3585424852
467	0.3583658522
468	0.3561881523
469	0.3554198603
470	0.3543810517
471	0.3531205774
472	0.351928924
473	0.3517607455
474	0.3509931845
475	0.3502482302
476	0.3499270055
477	0.3491990736
478	0.3490347434
479	0.3486626185
480	0.3479811578
481	0.347843678
482	0.3476377526
483	0.3475021225
484	0.3474331174
485	0.347030321
486	0.3468974229
487	0.3457408188
488	0.3455837366
489	0.3449250648
490	0.3447230544
491	0.3444916055
492	0.3438496146
493	0.3432481721
494	0.3428833374
495	0.3425423868
496	0.3424205621
497	0.342237739
498	0.3414729186
499	0.3412758388
500	0.341224938
501	0.3411139658
502	0.3409803717
503	0.3404916059
504	0.3404727309
505	0.3400014023
506	0.3384811927
507	0.3379580164
508	0.3375353231
509	0.3361726395
510	0.3358854018
511	0.3356358211
512	0.3355132138
513	0.3346378072
514	0.334483074
515	0.3341662218
516	0.3341091087
517	0.3331595864
518	0.3328664397
519	0.332377194
520	0.3318501384
521	0.3316555315
522	0.3305315118
523	0.3302088593
524	0.3300800405
525	0.3296690816
526	0.3286491978
527	0.3279298795
528	0.3278344975
529	0.3275341698
530	0.3267968244
531	0.3266146226
532	0.3265076914
533	0.3264694011
534	0.3263041778
535	0.3256478581
536	0.325145017
537	0.3247247539
538	0.3237247872
539	0.3227778395
540	0.322316737
541	0.3220700165
542	0.3213165432
543	0.321090181
544	0.3207484546
545	0.3205067467
546	0.3200729409
547	0.3200199127
548	0.3197252204
549	0.3189761608
550	0.3189107543
551	0.3180643378
552	0.3179782578
553	0.3174667826
554	0.3172052163
555	0.3170809959
556	0.3155668607
557	0.3153670688
558	0.3153044746
559	0.3141469849
560	0.3139682541
561	0.3138375019
562	0.3136117628
563	0.3135825284
564	0.3133819755
565	0.3130775192
566	0.3122339243
567	0.3119317276
568	0.3113371865
569	0.3112023226
570	0.310914958
571	0.3108385025
572	0.3095021448
573	0.3092302768
574	0.3091740106
575	0.3085382221
576	0.3071818634
577	0.3065313692
578	0.3061313746
579	0.3060652553
580	0.3055319595
581	0.3042379692
582	0.303604204
583	0.3032796537
584	0.3027871309
585	0.3021929417
586	0.3016922671
587	0.301256612
588	0.3011055608
589	0.3005650176
590	0.3005028669
591	0.3003915735
592	0.3002349252
593	0.2999726612
594	0.2999287556
595	0.2992181708
596	0.2989675409
597	0.2980837884
598	0.2973289282
599	0.2971349164
600	0.296479875
601	0.2959730855
602	0.2958770435
603	0.2955265911
604	0.2951282354
605	0.2947372833
606	0.2943759711
607	0.2937762781
608	0.2936664087
609	0.2931566818
610	0.2930045519
611	0.2928502876
612	0.292230329
613	0.2920459815
614	0.2919847012
615	0.2916989792
616	0.2916551694
617	0.2915818291
618	0.2913432428
619	0.2910133982
620	0.2908942961
621	0.2907036896
622	0.2900453384
623	0.2895663285
624	0.2895157869
625	0.2891569726
626	0.2890158956
627	0.2884481329
628	0.2882006521
629	0.2878451609
630	0.2874560913
631	0.287255754
632	0.287135878
633	0.2868448813
634	0.2866770352
635	0.2866267909
636	0.2866148818
637	0.2865121978
638	0.2861051974
639	0.2859362878
640	0.2845167483
641	0.2843922771
642	0.2835584721
643	0.2831566986
644	0.2830797005
645	0.2821657856
646	0.282056298
647	0.2817263532
648	0.2810939827
649	0.2810473157
650	0.2808378257
651	0.2807802512
652	0.2804821117
653	0.2800319243
654	0.2796582283
655	0.2788320614
656	0.278442628
657	0.2771596184
658	0.2765492535
659	0.2765183915
660	0.2757071819
661	0.2756445191
662	0.2752854441
663	0.2751998222
664	0.2750347232
665	0.2749747219
666	0.2748061974
667	0.2745589051
668	0.2743436514
669	0.2741400286
670	0.2738205029
671	0.2737805458
672	0.2733970356
673	0.2729688186
674	0.2726980427
675	0.2722760965
676	0.2722348232
677	0.2719324959
678	0.2715385853
679	0.2715272404
680	0.2711050316
681	0.2709152181
682	0.2707782849
683	0.2701812881
684	0.2700245728
685	0.2695411187
686	0.2695000969
687	0.2694418748
688	0.2693739286
689	0.2691956548
690	0.2689299938
691	0.2689048959
692	0.2678119089
693	0.2676093113
694	0.2674620703
695	0.2673861948
696	0.2672758605
697	0.2670328216
698	0.2669345991
699	0.2667713457
700	0.2666394983
701	0.2665215649
702	0.2664604695
703	0.2662397028
704	0.2662119185
705	0.2661189474
706	0.2655105958
707	0.2654131851
708	0.2650931662
709	0.2649918017
710	0.2645378898
711	0.2643460524
712	0.2640508555
713	0.2639236409
714	0.2637750153
715	0.2633593171
716	0.2630981117
717	0.2629229758
718	0.2624249126
719	0.262169131
720	0.2607067565
721	0.2606621499
722	0.2600120037
723	0.2598520752
724	0.2596004795
725	0.258767505
726	0.2584132378
727	0.2583139712
728	0.2579751106
729	0.2577998932
730	0.2575539242
731	0.257246523
732	0.2570711332
733	0.2569874492
734	0.2568797501
735	0.2567817714
736	0.2561648646
737	0.2560819344
738	0.2559233939
739	0.2557468971
740	0.2556881184
741	0.255516738
742	0.255452394
743	0.2553726978
744	0.2552700729
745	0.2545552931
746	0.2544684123
747	0.2543720248
748	0.2538870737
749	0.2537036468
750	0.2534884804
751	0.2533124011
752	0.2528788057
753	0.2525456877
754	0.2523329008
755	0.2522597122
756	0.2521487335
757	0.2517646192
758	0.2515811446
759	0.2513748356
760	0.2512900045
761	0.2508943129
762	0.2507656373
763	0.2506486218
764	0.250339304
765	0.2497705636
766	0.2497299388
767	0.24958022
768	0.2495424406
769	0.2487712523
770	0.2485643505
771	0.2483188059
772	0.2482855691
773	0.2481968401
774	0.2479485136
775	0.2478488163
776	0.2476837855
777	0.2475142466
778	0.2473393439
779	0.2472042266
780	0.246839149
781	0.2463658808
782	0.2460737851
783	0.24585701
784	0.245578254
785	0.2454707182
786	0.2452004012
787	0.2442640994
788	0.2441080671
789	0.2439602919
790	0.2438327785
791	0.2437859863
792	0.2437483681
793	0.243245977
794	0.2431671456
795	0.2431398021
796	0.2431018732
797	0.2430473865
798	0.2428454029
799	0.2428013971
800	0.2427038357
801	0.2425314466
802	0.2422760563
803	0.2422545123
804	0.2420727109
805	0.2418646277
806	0.2415732454
807	0.2415542654
808	0.2415339588
809	0.2411841701
810	0.2411542808
811	0.2410964674
812	0.2409202329
813	0.2407752537
814	0.2407536012
815	0.2404651498
816	0.240432029
817	0.2404019788
818	0.2400341236
819	0.2398180802
820	0.2396270432
821	0.2393769813
822	0.2392232652
823	0.2391251982
824	0.2389581771
825	0.2389378535
826	0.2388056615
827	0.23875758
828	0.2383975361
829	0.2383682288
830	0.2382711956
831	0.2381910847
832	0.238085149
833	0.2380687484
834	0.2380340553
835	0.2378097781
836	0.2377052508
837	0.2376949298
838	0.2376322083
839	0.2375523238
840	0.2375177107
841	0.237069139
842	0.235639085
843	0.2354175593
844	0.2353367728
845	0.2347221395
846	0.2345428172
847	0.2344276267
848	0.2342945531
849	0.2335147101
850	0.233271823
851	0.2328769351
852	0.2328440311
853	0.2328113266
854	0.2326419002
855	0.2326181868
856	0.2325410612
857	0.2321875191
858	0.232042918
859	0.2320293522
860	0.2319247798
861	0.2317200026
862	0.2316247885
863	0.2315366726
864	0.2314733668
865	0.2311573823
866	0.2309222218
867	0.2307303251
868	0.2307071163
869	0.2306971763
870	0.2306536069
871	0.2305492573
872	0.2304992116
873	0.2303939029
874	0.2302065874
875	0.2301761984
876	0.2300712989
877	0.2295519859
878	0.2293524446
879	0.2292492936
880	0.2290613384
881	0.2289446644
882	0.2286616797
883	0.2286330853
884	0.2282673835
885	0.2280364444
886	0.2279345355
887	0.2279066746
888	0.2276905102
889	0.2275534466
890	0.2274768918
891	0.2273726202
892	0.2273547808
893	0.2273257645
894	0.2271763045
895	0.2270681845
896	0.2269953229
897	0.2269787053
898	0.2268773672
899	0.2268676848
900	0.2268291851
901	0.2268196655
902	0.2267410111
903	0.2266936801
904	0.2265673831
905	0.2265222351
906	0.2264725569
907	0.2264296177
908	0.2263868883
909	0.2263564034
910	0.2257595244
911	0.2256056954
912	0.2254656109
913	0.2251541818
914	0.2250546271
915	0.2250296681
916	0.2249250114
917	0.2248973715
918	0.2244804006
919	0.2244361625
920	0.2243438165
921	0.2242650594
922	0.2239417223
923	0.2237491113
924	0.2236978857
925	0.2236691465
926	0.2234984134
927	0.223461832
928	0.2233469901
929	0.2233052305
930	0.2230686904
931	0.2229883527
932	0.2229439758
933	0.2228539963
934	0.2226096155
935	0.2225965105
936	0.2225855709
937	0.2224875611
938	0.2223716504
939	0.2223135233
940	0.2219457819
941	0.221839497
942	0.2211184857
943	0.2210790527
944	0.2209785607
945	0.2209595085
946	0.2206850837
947	0.2205316477
948	0.2204314424
949	0.2203496909
950	0.2200840958
951	0.2200416717
952	0.219970557
953	0.2199391516
954	0.2199030248
955	0.2197005931
956	0.219645236
957	0.2195233297
958	0.2194417757
959	0.219418923
960	0.2194004893
961	0.219271904
962	0.2192149628
963	0.2192037554
964	0.2190077789
965	0.2189447848
966	0.2185832364
967	0.2184432225
968	0.2183385325
969	0.2181240312
970	0.2180426987
971	0.2177678513
972	0.2172876945
973	0.2170950619
974	0.2169847223
975	0.2169406005
976	0.216672816
977	0.2165984655
978	0.216456758
979	0.2164291235
980	0.2163814342
981	0.2163067491
982	0.2162149123
983	0.2157641788
984	0.2157429473
985	0.2157222997
986	0.2156513377
987	0.2153249857
988	0.2152708651
989	0.2152466956
990	0.2152234797
991	0.2151928747
992	0.2150016604
993	0.2149888583
994	0.2149524888
995	0.2146976073
996	0.2146824
997	0.2145438899
998	0.2145164625
999	0.2144082028
1000	0.2143881483
1001	0.2143569627
1002	0.2141012963
1003	0.2140069053
1004	0.2139793391
1005	0.2139473601
1006	0.2138160089
1007	0.2137327098
1008	0.2137180042
1009	0.2136620684
1010	0.2135790811
1011	0.2135014856
1012	0.2134501813
1013	0.2134087539
1014	0.2133787712
1015	0.2133248533
1016	0.2131243792
1017	0.2129780809
1018	0.2129286383
1019	0.2128113401
1020	0.2122772609
1021	0.2122137921
1022	0.2118634115
1023	0.2116292976
1024	0.2115462813
1025	0.2115255119
1026	0.2114995646
1027	0.2114620934
1028	0.2112448216
1029	0.2111526155
1030	0.2110667524
1031	0.2107905447
1032	0.2106592817
1033	0.2104556251
1034	0.2104365612
1035	0.2101394581
1036	0.2100892332
1037	0.2100768174
1038	0.209887666
1039	0.2096154144
1040	0.2095847465
1041	0.208598773
1042	0.2085647216
1043	0.2085388544
1044	0.2085259736
1045	0.2084966332
1046	0.2084533999
1047	0.2082186586
1048	0.2081584103
1049	0.2080343485
1050	0.2079517776
1051	0.2079308607
1052	0.2071996939
1053	0.2070558025
1054	0.2069937158
1055	0.2065322971
1056	0.2065026328
1057	0.2064650861
1058	0.2064474454
1059	0.206332714
1060	0.2062504297
1061	0.2062344047
1062	0.2061933999
1063	0.2060408901
1064	0.2060324132
1065	0.2060267496
1066	0.206004392
1067	0.2058353535
1068	0.2058257073
1069	0.2058208386
1070	0.2057512098
1071	0.2057226683
1072	0.205707602
1073	0.2056974514
1074	0.2054177888
1075	0.2053984765
1076	0.2043645983
1077	0.2043355416
1078	0.2043129685
1079	0.2042648501
1080	0.2041979322
1081	0.2041767756
1082	0.2036141785
1083	0.2035622675
1084	0.2035212297
1085	0.2034616518
1086	0.2032024316
1087	0.203188053
1088	0.2031679504
1089	0.2030825744
1090	0.2029779423
1091	0.2029676983
1092	0.2028399409
1093	0.2028309578
1094	0.202490658
1095	0.2024547467
1096	0.2022848966
1097	0.202250925
1098	0.2018959406
1099	0.2018828788
1100	0.2018674974
1101	0.2018515428
1102	0.2017312621
1103	0.2017248079
1104	0.2016648068
1105	0.2012442864
1106	0.2011305974
1107	0.2011062079
1108	0.2011007499
1109	0.2010808498
1110	0.2010415438
1111	0.2010058654
1112	0.2009975714
1113	0.2009724856
1114	0.200948516
1115	0.2009035962
1116	0.2008763996
1117	0.2006934242
1118	0.2006854551
1119	0.2006279035
1120	0.2005311486
1121	0.2001180887
1122	0.1999531388
1123	0.1998744156
1124	0.1998412596
1125	0.1998150506
1126	0.1998076305
1127	0.1997977825
1128	0.1997782615
1129	0.1997155978
1130	0.1997048454
1131	0.199658787
1132	0.1995974265
1133	0.1995854963
1134	0.1994837348
1135	0.1994403007
1136	0.1992508645
1137	0.1991774301
1138	0.1991568195
1139	0.1991299307
1140	0.1980076771
1141	0.1977540664
1142	0.1977420974
1143	0.1977124779
1144	0.1976972221
1145	0.1976588524
1146	0.1976444383
1147	0.1975533414
1148	0.1974637522
1149	0.1973946336
1150	0.1973462761
1151	0.1973363787
1152	0.1972578937
1153	0.1971936435
1154	0.1971819671
1155	0.1971622646
1156	0.1968049094
1157	0.1962354756
1158	0.1962114155
1159	0.1962023866
1160	0.1961710072
1161	0.1961527332
1162	0.1961007975
1163	0.1959630667
1164	0.195888017
1165	0.1958573185
1166	0.1958450851
1167	0.1957301237
1168	0.1954667957
1169	0.195437745
1170	0.1954156483
1171	0.1953926531
1172	0.1953552325
1173	0.1953113943
1174	0.1951271781
1175	0.1950960824
1176	0.1948139477
1177	0.1947483235
1178	0.194685794
1179	0.1945845881
1180	0.1945738533
1181	0.1945195436
1182	0.1942952711
1183	0.1942290168
1184	0.1941978065
1185	0.1941705661
1186	0.1939731507
1187	0.193962056
1188	0.1938380384
1189	0.1938241646
1190	0.1937563021
1191	0.1937233875
1192	0.1936927389
1193	0.1936393454
1194	0.193579744
1195	0.1935671534
1196	0.1935424315
1197	0.1935264627
1198	0.1934601741
1199	0.1931185502
